idx,category,cd_l1,gt_b0,pred_b0,gt_b1,pred_b1,w2_h0,w2_h1,w1_h0,bd_h0,bd_h1,n_gt_h0,n_pred_h0,n_gt_h1,n_pred_h1,topo_error
93,sofa,5.881311371922493,1,1,0,0,0.0005027164506438424,0.001419760399778824,0.00698752386224199,0.00017096159701860867,0.00016956280818158548,256,256,702,737,0.0019224768504226663
94,sofa,4.1624801233410835,1,1,0,0,0.00041661889410717155,0.000745648033781987,0.005605326775125772,6.155682949939359e-05,0.0001449855358706348,256,256,459,490,0.0011622669278891586
95,sofa,8.577892556786537,1,1,0,0,0.0028358087441864304,0.003570296938601658,0.0448966242542542,0.00032988097476605027,0.0006034748955271339,256,256,704,827,0.006406105682788089
96,sofa,10.172644630074501,1,1,0,0,0.0011846193908139847,0.00167598014696833,0.016803434684774916,0.0001769642176732665,0.0006374282436444698,256,256,734,800,0.0028605995377823145
97,sofa,10.535966604948044,1,1,0,0,0.0014330590271258148,0.0032225771563729085,0.02236933576073061,0.00021121986988907604,0.0003738616820452129,256,256,775,828,0.0046556361834987235
98,sofa,5.4640029557049274,1,1,0,0,0.0009547560308372315,0.0024609565097400395,0.014464270942738305,0.00014739764158977486,0.00047560579460531865,256,256,672,722,0.003415712540577271
99,sofa,8.788585662841797,1,1,0,0,0.002259733711878797,0.0024284106502982443,0.01802001725441473,0.0013838578492194721,0.0009327401385516819,256,256,820,796,0.004688144362177042
100,sofa,10.373689234256744,1,1,0,0,0.0010453528410606528,0.0032339812505547327,0.015446215258271827,0.00019165124578345016,0.0007201966135480398,256,256,733,845,0.0042793340916153855
101,sofa,8.490465581417084,1,1,0,0,0.000593040911119025,0.0012948590386686225,0.007652955808571216,0.00012853727406604565,0.0004825010463616296,256,256,755,738,0.0018878999497876476
102,sofa,10.320900939404964,1,1,0,0,0.008480342921492218,0.007948546371359928,0.13473091436485193,0.0008731562027682327,0.0013963956284009217,256,256,719,820,0.016428889292852147
103,sofa,7.883627898991108,1,1,0,0,0.0007054583854036347,0.0018568895427904782,0.008025118511821333,0.00043774517339289967,0.0003897709387742079,256,256,810,792,0.002562347928194113
104,sofa,5.239126272499561,1,1,0,0,0.0002751724834835021,0.0006564705230124504,0.003251200880553703,0.00013649890973548798,0.00010427685394412215,256,256,739,774,0.0009316430064959525
105,sofa,9.722964838147163,1,1,0,0,0.005530533280271403,0.005104132779289701,0.08160578423618309,0.0017070752911699369,0.0011453103453629926,256,256,663,831,0.010634666059561104
106,sofa,9.304983541369438,1,1,0,0,0.0015492926562099445,0.0024293524638632318,0.02353792160050376,0.0002861482473454505,0.0002966641423590298,256,256,770,833,0.0039786451200731765
107,sofa,10.616032406687737,1,1,0,0,0.0003392072213220096,0.0013891639899222836,0.0036140718170079036,0.0001434466035041273,0.00035850511435704885,256,256,817,803,0.0017283712112442931
108,sofa,8.573244325816631,1,1,0,0,0.0027739422470874726,0.0035289837241606115,0.043402343137731864,0.00046506595878076373,0.0007208006892590758,256,256,717,856,0.006302925971248085
109,sofa,10.332574136555195,1,1,0,0,0.0014355179823687658,0.0035039588227827657,0.02191434597660846,0.00019181917806986026,0.0008414424389387946,256,256,711,763,0.004939476805151531
110,sofa,7.9764146357774734,1,1,0,0,0.0011121261399804543,0.0015484383314855093,0.017343226062101022,0.00020708237506742843,0.0004490165945880008,256,256,725,756,0.0026605644714659633
111,sofa,7.929075509309769,1,1,0,0,0.002330373032137169,0.0028734122852278952,0.0369754412032373,0.00029307777474425756,0.00035565930412374174,256,256,655,789,0.005203785317365064
112,sofa,7.225427310913801,1,1,0,0,0.001884967119829826,0.0033174104007586227,0.02961450596095256,0.00014713297163598815,0.000645148885254452,256,256,691,807,0.0052023775205884484
113,sofa,8.958255872130394,1,1,0,0,0.0019573495087219445,0.00251415139671087,0.030155212780000672,0.0003406094266428794,0.0004364431461733598,256,256,673,712,0.0044715009054328144
114,sofa,8.164668455719948,1,1,0,0,0.004366942682377215,0.006972715622689305,0.06923039893527642,0.0006436127528557517,0.0008534551655124314,256,256,624,762,0.01133965830506652
